state	year	county	precinct	g2012_USP_adv	g2012_USP_edv	g2012_USP_ldv	g2012_USP_dv	g2012_USP_arv	g2012_USP_erv	g2012_USP_lrv	g2012_USP_rv	g2012_USP_tv	g2012_USP_atv	g2012_USP_etv	g2012_USP_ltv	cd	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_dv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_rv	g2012_USH_tv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	cd2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_ldv2	g2012_USH_dv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_lrv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USH_atv2	g2012_USH_etv2	g2012_USH_ltv2	sd	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_dv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_rv	g2012_STS_tv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	sd2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_ldv2	g2012_STS_dv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_lrv2	g2012_STS_rv2	g2012_STS_tv2	g2012_STS_atv2	g2012_STS_etv2	g2012_STS_ltv2	ld	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_dv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_rv	g2012_STH_tv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	ld2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_ldv2	g2012_STH_dv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_lrv2	g2012_STH_rv2	g2012_STH_tv2	g2012_STH_atv2	g2012_STH_etv2	g2012_STH_ltv2	ld3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_ldv3	g2012_STH_dv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_lrv3	g2012_STH_rv3	g2012_STH_tv3	g2012_STH_atv3	g2012_STH_etv3	g2012_STH_ltv3	ld4	g2012_STH_adv4	g2012_STH_edv4	g2012_STH_ldv4	g2012_STH_dv4	g2012_STH_arv4	g2012_STH_erv4	g2012_STH_lrv4	g2012_STH_rv4	g2012_STH_tv4	g2012_STH_atv4	g2012_STH_etv4	g2012_STH_ltv4	ld5	g2012_STH_adv5	g2012_STH_edv5	g2012_STH_ldv5	g2012_STH_dv5	g2012_STH_arv5	g2012_STH_erv5	g2012_STH_lrv5	g2012_STH_rv5	g2012_STH_tv5	g2012_STH_atv5	g2012_STH_etv5	g2012_STH_ltv5	ld6	g2012_STH_adv6	g2012_STH_edv6	g2012_STH_ldv6	g2012_STH_dv6	g2012_STH_arv6	g2012_STH_erv6	g2012_STH_lrv6	g2012_STH_rv6	g2012_STH_tv6	g2012_STH_atv6	g2012_STH_etv6	g2012_STH_ltv6	ld7	g2012_STH_adv7	g2012_STH_edv7	g2012_STH_ldv7	g2012_STH_dv7	g2012_STH_arv7	g2012_STH_erv7	g2012_STH_lrv7	g2012_STH_rv7	g2012_STH_tv7	g2012_STH_atv7	g2012_STH_etv7	g2012_STH_ltv7	ld8	g2012_STH_adv8	g2012_STH_edv8	g2012_STH_ldv8	g2012_STH_dv8	g2012_STH_arv8	g2012_STH_erv8	g2012_STH_lrv8	g2012_STH_rv8	g2012_STH_tv8	g2012_STH_atv8	g2012_STH_etv8	g2012_STH_ltv8	ld9	g2012_STH_adv9	g2012_STH_edv9	g2012_STH_ldv9	g2012_STH_dv9	g2012_STH_arv9	g2012_STH_erv9	g2012_STH_lrv9	g2012_STH_rv9	g2012_STH_tv9	g2012_STH_atv9	g2012_STH_etv9	g2012_STH_ltv9
"OK"	2012	"CUSTER"	200018	10	15	234	259	47	102	763	912	1171	57	117	997	3	9	15	144	168	44	102	821	967	1171	56	117	998																																																																																																																																																												
"OK"	2012	"CUSTER"	200019	14	15	226	255	40	72	736	848	1103	54	87	962	3	11	10	139	160	43	74	783	900	1106	54	88	964																																																																																																																																																												
"OK"	2012	"CUSTER"	200020	10	13	188	211	25	63	749	837	1048	35	76	937	3	5	9	127	141	28	67	785	880	1043	33	76	934																																																																																																																																																												
"OK"	2012	"CUSTER"	200021	12	15	388	415	25	42	819	886	1301	37	57	1207	3	10	11	285	306	26	44	841	911	1297	37	57	1203																																																																																																																																																												
"OK"	2012	"CUSTER"	200022	2	2	28	32	12	17	193	222	254	14	19	221	3	2	0	19	21	12	18	195	225	254	14	19	221																																																																																																																																																												
"OK"	2012	"CUSTER"	200023	3	3	113	119	23	16	565	604	723	26	19	678	3	4	3	61	68	21	16	602	639	723	25	19	679																																																																																																																																																												
"OK"	2012	"CUSTER"	200026	3	6	50	59	19	38	353	410	469	22	44	403	3	3	4	24	31	18	36	372	426	468	22	44	402																																																																																																																																																												
"OK"	2012	"DELAWARE"	210001	10	2	199	211	54	16	598	668	879	64	18	797	2	13	1	200	214	51	16	564	631	874	64	18	792																																																																																																																																																												
"OK"	2012	"DELAWARE"	210002	4	3	131	138	15	11	249	275	413	19	14	380	2	4	4	141	149	13	8	221	242	404	18	14	372																																																																																																																																																												
"OK"	2012	"DELAWARE"	210003	12	8	248	268	48	21	502	571	839	60	29	750	2	14	9	232	255	45	19	481	545	835	60	29	746																																																																																																																																																												
"OK"	2012	"DELAWARE"	210004	8	3	151	162	17	18	295	330	492	25	21	446	2	9	4	153	166	14	17	266	297	485	25	21	439																																																																																																																																																												
"OK"	2012	"DELAWARE"	210005	18	26	184	228	42	48	598	688	916	60	74	782	2	16	26	189	231	40	44	552	636	904	60	74	770														3	20	28	226	274	39	47	549	635	909	59	75	775																																																																																																																																		
"OK"	2012	"DELAWARE"	210006	8	14	165	187	38	31	422	491	678	46	45	587	2	7	15	168	190	38	30	387	455	672	47	45	580														3	17	17	209	243	30	28	366	424	667	47	45	575																																																																																																																																		
"OK"	2012	"DELAWARE"	210007	38	40	327	405	106	93	932	1131	1536	144	133	1259	2	37	41	327	405	98	88	875	1061	1523	142	133	1248														3	54	46	414	514	87	83	827	997	1511	141	129	1241																																																																																																																																		
"OK"	2012	"DELAWARE"	210008	0	7	85	92	10	14	226	250	342	10	21	311	2	0	9	99	108	10	11	198	219	344	10	21	313														3	0	10	112	122	10	10	198	218	340	10	20	310																																																																																																																																		
"OK"	2012	"DELAWARE"	210009	22	26	261	309	77	108	937	1122	1431	99	134	1198	2	24	29	295	348	70	102	847	1019	1415	98	133	1184														3	31	42	376	449	67	90	808	965	1414	98	132	1184																																																																																																																																		
"OK"	2012	"DELAWARE"	210010	0	3	3	6	2	8	18	28	34	2	11	21	2	0	4	6	10	2	7	15	24	34	2	11	21																																								86	2	4	6	12	0	6	12	18	30	2	10	18																																																																																																								
"OK"	2012	"DELAWARE"	210011	15	18	167	200	34	40	476	550	750	49	58	643	2	15	19	177	211	34	39	445	518	751	49	58	644														3	17	20	221	258	32	38	416	486	744	49	58	637																																																																																																																																		
"OK"	2012	"DELAWARE"	210012	7	5	148	160	40	37	291	368	528	47	42	439	2	8	7	153	168	38	34	257	329	525	46	42	437																																																																																																																																																												
"OK"	2012	"DELAWARE"	210014	9	37	175	221	16	63	274	353	574	25	100	449	2	9	37	205	251	15	60	222	297	565	25	98	442																																																																																																																																																												
"OK"	2012	"DELAWARE"	210015	10	37	191	238	30	56	383	469	707	40	93	574	2	12	38	184	234	27	54	364	445	704	40	93	571																																																																																																																																																												
