state	year	precinct	precinct_code	g2012_USP_dv	g2012_USP_ldv	g2012_USP_adv	g2012_USP_rv	g2012_USP_lrv	g2012_USP_arv	g2012_USS_dv	g2012_USS_ldv	g2012_USS_adv	g2012_USS_rv	g2012_USS_lrv	g2012_USS_arv	g2012_USP_tv	g2012_USP_atv	g2012_USP_ltv	g2012_USS_tv	g2012_USS_atv	g2012_USS_ltv	cd	g2012_USH_dv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_rv	g2012_USH_lrv	g2012_USH_arv	g2012_USH_tv	g2012_USH_atv	g2012_USH_ltv	ld	g2012_STH_dv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_rv	g2012_STH_lrv	g2012_STH_arv	g2012_STH_tv	g2012_STH_atv	g2012_STH_ltv	sd	g2012_STS_dv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_rv	g2012_STS_lrv	g2012_STS_arv	g2012_STS_tv	g2012_STS_atv	g2012_STS_ltv
"RI"	2012	"Johnston 1607"	1607	214	205	9	145	141	4	205	198	7	137	132	5	361	13	348	343	12	331	2	206	197	9	132	130	2	356	13	343	43	244	238	6				336	10	326	25	265	260	5				271	5	266
"RI"	2012	"Johnston 1608"	1608	867	835	32	476	460	16	860	828	32	448	432	16	1363	48	1315	1313	48	1265	2	843	808	35	417	404	13	1339	51	1288	43	830	797	33				1289	48	1241	25	1045	1007	38				1070	39	1031
"RI"	2012	"Johnston 1609"	1609	604	556	48	415	402	13	638	591	47	345	332	13	1033	61	972	986	60	926	2	617	577	40	331	316	15	1011	60	951	43	637	605	32				981	52	929	25	792	742	50				803	50	753
"RI"	2012	"Johnston 1610"	1610	872	835	37	677	638	39	922	886	36	589	553	36	1569	76	1493	1515	72	1443	2	895	854	41	548	519	29	1547	73	1474	43	980	937	43				1490	68	1422	25	1170	1113	57				1194	57	1137
"RI"	2012	"Johnston 1611"	1611	472	447	25	339	322	17	488	460	28	294	282	12	830	43	787	786	40	746	2	475	448	27	286	273	13	816	40	776	43	511	485	26				790	36	754	25	633	601	32				645	32	613
"RI"	2012	"Johnston 1612"	1612	497	473	24	444	424	20	532	500	32	377	365	12	954	44	910	909	44	865	2	519	487	32	367	356	11	941	44	897	43	546	517	29				906	42	864	25	711	672	39				723	39	684
"RI"	2012	"Johnston 1613"	1613	467	443	24	600	570	30	511	483	28	536	511	25	1086	54	1032	1047	53	994	2	517	487	30	501	479	22	1077	55	1022	44	656	623	33	375	356	19	1034	52	982	25	798	758	40				820	41	779
"RI"	2012	"Johnston Limited"	1614	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	1	0	0	0	0	1	0	1																				
"RI"	2012	"Johnston President"	1615	190	187	3	63	63	0							255	3	252	0	0	0																														
"RI"	2012	"Lincoln 1701"	1701	808	768	40	1063	985	78	872	817	55	938	880	58	1898	118	1780	1815	114	1701	1	588	548	40	1212	1135	77	1891	117	1774	44	1105	1045	60	745	693	52	1851	112	1739	17	587	541	46				1768	103	1665
"RI"	2012	"Lincoln 1702"	1702	488	467	21	352	335	17	481	457	24	332	315	17	855	42	813	813	41	772	1	335	319	16	470	447	23	846	41	805	45	616	589	27				635	27	608	17	298	289	9				801	39	762
"RI"	2012	"Lincoln 1703"	1703	724	704	20	425	417	8	742	719	23	379	371	8	1183	30	1153	1124	31	1093	1	519	506	13	579	565	14	1183	31	1152	45	886	863	23				938	24	914	17	432	421	11				1110	30	1080
"RI"	2012	"Lincoln 1704"	1704	938	905	33	673	640	33	937	896	41	608	582	26	1632	70	1562	1548	67	1481	1	631	597	34	868	835	33	1604	69	1535	46	586	560	26	511	488	23	1597	68	1529	17	454	434	20				1550	65	1485
"RI"	2012	"Lincoln 1705"	1705	691	666	25	536	509	27	705	680	25	465	438	27	1233	52	1181	1172	52	1120	1	442	426	16	695	662	33	1229	53	1176	46	469	452	17	398	378	20	1206	51	1155	17	387	373	14				1172	49	1123
"RI"	2012	"Lincoln 1706"	1706	206	195	11	164	153	11	213	202	11	145	133	12	375	23	352	360	23	337	1	139	131	8	212	198	14	371	23	348	46	125	121	4	131	122	9	358	19	339	17	111	108	3				352	19	333
"RI"	2012	"Lincoln 1707"	1707	206	197	9	171	168	3	205	195	10	162	160	2	382	12	370	367	12	355	1	144	137	7	210	207	3	380	12	368	46	135	128	7	131	129	2	368	12	356	17	86	81	5				362	12	350
"RI"	2012	"Lincoln 1708"	1708	819	745	74	704	654	50	868	788	80	615	577	38	1556	126	1430	1489	118	1371	1	609	556	53	846	786	60	1544	120	1424	46	550	501	49	565	539	26	1506	114	1392	17	465	424	41				1457	105	1352
"RI"	2012	"Lincoln 1709"	1709	308	287	21	300	287	13	315	293	22	267	258	9	618	34	584	583	31	552	1	232	219	13	344	328	16	615	34	581	46	202	190	12	209	200	9	595	32	563	17	188	177	11				569	31	538
"RI"	2012	"Lincoln 1710"	1710	360	351	9	234	221	13	343	332	11	223	212	11	600	22	578	567	22	545	1	252	244	8	305	291	14	594	22	572	46	225	219	6	185	178	7	583	19	564	19	295	291	4	207	194	13	565	19	546
"RI"	2012	"Lincoln 1711"	1711	380	369	11	198	194	4	371	360	11	199	194	5	584	15	569	570	16	554	1	274	267	7	265	257	8	582	16	566	46	264	253	11	129	127	2	568	16	552	19	309	301	8	185	180	5	556	16	540
"RI"	2012	"Lincoln Limited"	1712	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	1																				
"RI"	2012	"Lincoln President"	1713	100	100	0	45	45	0							147	0	147	0	0	0																														
"RI"	2012	"Little Compton 1801"	1801	1195	1090	105	897	822	75	1126	1022	104	946	871	75	2142	184	1958	2073	179	1894	1	881	791	90	1077	998	79	2117	182	1935	71	1317	1213	104				1334	107	1227	12	1282	1178	104				1308	107	1201
"RI"	2012	"Little Compton Limited"	1802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																				
"RI"	2012	"Little Compton President"	1803	19	17	2	11	8	3							30	5	25	0	0	0																														
"RI"	2012	"Middletown 1901"	1901	653	598	55	548	508	40	658	599	59	512	480	32	1217	95	1122	1170	91	1079	1	504	462	42	620	573	47	1196	96	1100	72	599	547	52	553	521	32	1154	84	1070	12	897	827	70				913	70	843
"RI"	2012	"Middletown 1902"	1902	865	789	76	576	537	39	882	805	77	538	502	36	1461	117	1344	1421	113	1308	1	680	617	63	670	626	44	1440	115	1325	72	854	787	67	553	517	36	1408	103	1305	12	1112	1028	84				1125	85	1040
"RI"	2012	"Middletown 1903"	1903	799	712	87	418	364	54	797	706	91	399	354	45	1245	142	1103	1197	136	1061	1	633	559	74	518	466	52	1222	132	1090	73	892	806	86				903	87	816	12	964	869	95				976	97	879
"RI"	2012	"Middletown 1904"	1904	1093	998	95	642	579	63	1110	1012	98	607	548	59	1777	159	1618	1718	157	1561	1	867	796	71	785	710	75	1760	158	1602	74	1160	1068	92	499	440	59	1667	151	1516	12	1409	1286	123				1442	125	1317
"RI"	2012	"Middletown 1905"	1905	740	687	53	520	470	50	753	696	57	488	445	43	1286	104	1182	1242	100	1142	1	597	560	37	605	552	53	1274	98	1176	74	786	728	58	417	389	28	1203	86	1117	12	994	926	68				1008	69	939
"RI"	2012	"Middletown Limited"	1906	4	3	1	2	1	1	4	3	1	2	1	1	6	2	4	6	2	4	1	4	3	1	2	1	1	6	2	4																				
"RI"	2012	"Middletown President"	1907	150	138	12	79	74	5							231	17	214	0	0	0																														
"RI"	2012	"Narragansett 2001"	2001	104	103	1	96	80	16	104	100	4	95	81	14	204	17	187	199	18	181	2	74	70	4	99	84	15	203	19	184	33	101	96	5	99	85	14	200	19	181	35	97	93	4	96	82	14	194	18	176
"RI"	2012	"Narragansett 2002"	2002	1117	1056	61	750	686	64	1102	1042	60	716	662	54	1923	126	1797	1829	114	1715	2	882	829	53	712	656	56	1875	120	1755	33	1152	1091	61	692	637	55	1847	116	1731	36	1168	1105	63	684	628	56	1855	119	1736
"RI"	2012	"Narragansett 2003"	2003	994	936	58	760	694	66	1010	949	61	721	660	61	1806	126	1680	1735	123	1612	2	832	778	54	751	687	64	1788	125	1663	33	1044	977	67	708	652	56	1756	123	1633	36	1050	983	67	709	652	57	1760	124	1636
"RI"	2012	"Narragansett 2004"	2004	1073	996	77	735	676	59	1046	965	81	720	666	54	1850	142	1708	1768	136	1632	2	834	771	63	738	677	61	1826	138	1688	34	895	845	50	893	807	86	1790	136	1654	35	940	881	59	753	682	71	1696	131	1565
"RI"	2012	"Narragansett 2005"	2005	969	901	68	837	765	72	934	867	67	812	744	68	1842	141	1701	1751	135	1616	2	798	738	60	855	777	78	1809	141	1668	34	876	814	62	908	834	74	1787	136	1651	35	838	777	61	849	778	71	1694	132	1562
"RI"	2012	"Narragansett Limited"	2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0																				
"RI"	2012	"Narragansett President"	2007	82	78	4	45	44	1							131	5	126	0	0	0																														
"RI"	2012	"New Shoreham 2201"	2201	656	535	121	273	212	61	668	542	126	255	200	55	958	190	768	924	181	743	2	594	478	116	227	173	54	952	185	767	36	639	533	106	195	146	49	926	176	750	37	722	594	128	218	165	53	941	181	760
"RI"	2012	"New Shoreham Limited"	2202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0																				
"RI"	2012	"New Shoreham President"	2203	10	9	1	3	3	0							14	1	13	0	0	0																														
"RI"	2012	"Newport 2101"	2101	649	601	48	349	322	27	666	613	53	301	281	20	1012	75	937	971	73	898	1	561	514	47	373	349	24	990	74	916	73	744	688	56				754	57	697	12	719	664	55				728	55	673
"RI"	2012	"Newport 2102"	2102	1456	1378	78	458	420	38	1421	1335	86	453	425	28	1948	117	1831	1878	115	1763	1	1206	1139	67	583	542	41	1918	117	1801	73	1587	1496	91				1611	96	1515	13	1486	1403	83	382	350	32	1873	117	1756
"RI"	2012	"Newport 2103"	2103	435	418	17	160	141	19	423	406	17	158	139	19	611	36	575	582	36	546	1	365	353	12	189	168	21	598	35	563	73	474	453	21				482	23	459	13	451	426	25	124	115	9	578	34	544
"RI"	2012	"Newport 2104"	2104	342	315	27	153	140	13	341	315	26	149	136	13	505	40	465	490	39	451	1	299	273	26	175	164	11	501	40	461	75	368	340	28				381	30	351	13	330	299	31	146	139	7	476	38	438
"RI"	2012	"Newport 2105"	2105	1265	1115	150	630	559	71	1222	1078	144	608	543	65	1928	225	1703	1830	209	1621	1	1030	906	124	749	665	84	1883	221	1662	75	1418	1261	157				1441	159	1282	13	1307	1162	145	526	465	61	1837	206	1631
"RI"	2012	"Newport 2106"	2106	855	752	103	508	450	58	845	740	105	476	427	49	1389	162	1227	1324	154	1170	1	738	650	88	545	484	61	1357	159	1198	75	1001	888	113				1017	113	904	13	892	796	96	416	368	48	1309	144	1165
"RI"	2012	"Newport 2107"	2107	948	862	86	635	557	78	961	869	92	602	534	68	1624	168	1456	1564	161	1403	1	738	668	70	761	674	87	1593	161	1432	75	1161	1061	100				1188	105	1083	13	1030	941	89	511	447	64	1544	154	1390
"RI"	2012	"Newport Limited"	2108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																				
"RI"	2012	"Newport President"	2109	224	215	9	66	59	7							296	16	280	0	0	0																														
"RI"	2012	"North Kingstown 2301"	2301	571	520	51	698	656	42	585	534	51	665	623	42	1304	100	1204	1253	93	1160	2	526	487	39	631	588	43	1275	96	1179	31	494	445	49	741	698	43	1239	92	1147	35	429	392	37	772	722	50	1202	87	1115
"RI"	2012	"North Kingstown 2302"	2302	922	885	37	662	608	54	917	877	40	649	596	53	1624	93	1531	1572	93	1479	2	818	773	45	618	571	47	1602	95	1507	31	824	792	32	748	689	59	1573	91	1482	36	985	936	49	586	543	43	1573	92	1481
"RI"	2012	"North Kingstown 2303"	2303	990	917	73	820	772	48	995	921	74	790	744	46	1855	123	1732	1791	121	1670	2	909	839	70	724	682	42	1828	121	1707	31	876	816	60	910	850	60	1791	120	1671	36	1053	991	62	733	675	58	1794	120	1674
"RI"	2012	"North Kingstown 2304"	2304	953	886	67	822	772	50	988	925	63	765	716	49	1819	119	1700	1759	112	1647	2	881	820	61	743	698	45	1792	114	1678	31	806	747	59	954	902	52	1761	111	1650	36	1018	955	63	743	696	47	1764	110	1654
"RI"	2012	"North Kingstown 2305"	2305	483	455	28	521	491	30	491	462	29	501	469	32	1029	60	969	995	61	934	2	420	391	29	505	478	27	1015	61	954	32	481	455	26	487	457	30	970	56	914	35	304	288	16	649	609	40	955	56	899
"RI"	2012	"North Kingstown 2306"	2306	512	477	35	534	492	42	500	468	32	527	484	43	1071	79	992	1033	76	957	2	439	407	32	498	459	39	1048	77	971	32	524	499	25	497	449	48	1028	76	952	35	375	351	24	622	572	50	1000	74	926
"RI"	2012	"North Kingstown 2307"	2307	1129	1035	94	807	731	76	1106	1005	101	818	742	76	1998	177	1821	1929	178	1751	2	982	894	88	706	639	67	1972	179	1793	32	1035	950	85	879	798	81	1921	168	1753	36	1174	1081	93	757	680	77	1937	170	1767
"RI"	2012	"North Kingstown 2308"	2308	1111	1020	91	758	700	58	1084	993	91	778	719	59	1923	154	1769	1865	150	1715	2	869	795	74	741	682	59	1889	151	1738	32	1075	993	82	768	701	67	1849	149	1700	36	1120	1030	90	727	670	57	1852	147	1705
"RI"	2012	"North Kingstown 2309"	2309	1040	958	82	776	718	58	1039	955	84	755	700	55	1865	142	1723	1799	139	1660	2	901	817	84	718	669	49	1830	140	1690	32	952	881	71	809	746	63	1764	135	1629	36	1027	947	80	758	706	52	1792	134	1658
"RI"	2012	"North Kingstown Limited"	2310	3	3	0	1	1	0	3	3	0	1	1	0	4	0	4	4	0	4	2	2	2	0	1	1	0	4	0	4																				
"RI"	2012	"North Kingstown President"	2311	133	120	13	52	47	5							189	20	169	0	0	0																														
"RI"	2012	"North Providence 2401"	2401	472	454	18	310	299	11	473	454	19	289	282	7	795	29	766	763	26	737	1	382	368	14	369	356	13	795	29	766	6	651	630	21				659	22	637	4	478	462	16				759	21	738
"RI"	2012	"North Providence 2402"	2402	647	622	25	353	341	12	635	611	24	340	327	13	1017	38	979	978	37	941	1	524	505	19	426	410	16	1013	38	975	6	813	785	28				836	31	805	7	559	539	20				963	36	927
"RI"	2012	"North Providence 2403"	2403	637	589	48	364	351	13	653	602	51	312	303	9	1022	61	961	967	60	907	1	513	476	37	433	413	20	1008	60	948	54	561	524	37				967	58	909	4	637	594	43				958	59	899
"RI"	2012	"North Providence 2404"	2404	370	347	23	210	198	12	350	326	24	216	207	9	600	35	565	567	33	534	1	266	250	16	287	270	17	595	34	561	54	292	274	18				560	33	527	4	356	336	20				563	33	530
"RI"	2012	"North Providence 2405"	2405	503	477	26	276	259	17	530	500	30	244	228	16	804	46	758	774	46	728	1	374	352	22	355	335	20	794	45	749	54	411	394	17				762	40	722	4	461	438	23				763	39	724
"RI"	2012	"North Providence 2406"	2406	713	687	26	433	412	21	695	667	28	405	386	19	1165	47	1118	1102	47	1055	1	540	520	20	523	502	21	1144	44	1100	54	621	596	25				1117	41	1076	7	602	581	21				1104	42	1062
"RI"	2012	"North Providence 2407"	2407	789	753	36	445	425	20	777	738	39	404	391	13	1253	56	1197	1182	52	1130	1	580	551	29	590	564	26	1242	57	1185	54	623	590	33				1188	56	1132	22	801	764	37	380	361	19	1181	56	1125
"RI"	2012	"North Providence 2408"	2408	622	598	24	306	291	15	605	580	25	299	285	14	952	39	913	906	39	867	1	468	447	21	394	379	15	944	41	903	54	525	503	22				889	38	851	22	607	582	25	282	269	13	891	38	853
"RI"	2012	"North Providence 2409"	2409	380	351	29	197	187	10	389	360	29	164	156	8	586	39	547	554	37	517	1	313	292	21	233	219	14	577	36	541	54	323	295	28				545	33	512	22	362	333	29	192	188	4	555	33	522
"RI"	2012	"North Providence 2410"	2410	516	485	31	329	314	15	527	491	36	302	293	9	862	47	815	830	45	785	1	427	399	28	398	381	17	865	47	818	55	635	597	38				649	39	610	4	480	451	29				805	40	765
"RI"	2012	"North Providence 2411"	2411	628	596	32	550	516	34	643	611	32	496	464	32	1191	66	1125	1140	65	1075	1	503	483	20	639	596	43	1187	65	1122	55	858	815	43				884	45	839	4	633	608	25				1141	58	1083
"RI"	2012	"North Providence 2412"	2412	747	729	18	386	371	15	779	761	18	316	303	13	1153	34	1119	1101	33	1068	1	629	612	17	434	419	15	1133	34	1099	55	921	891	30				950	30	920	4	767	747	20				1077	31	1046
"RI"	2012	"North Providence 2413"	2413	444	434	10	162	154	8	441	428	13	151	146	5	619	18	601	592	18	574	1	330	323	7	243	232	11	610	18	592	55	509	496	13				516	13	503	4	424	411	13				585	18	567
"RI"	2012	"North Providence 2414"	2414	394	382	12	200	191	9	398	387	11	171	161	10	608	21	587	570	21	549	1	309	298	11	233	223	10	599	21	578	55	457	446	11				466	11	455	4	373	364	9				570	16	554
"RI"	2012	"North Providence 2415"	2415	499	477	22	175	172	3	489	466	23	153	150	3	681	26	655	644	26	618	1	385	365	20	248	245	3	672	26	646	55	585	560	25				597	25	572	15	431	411	20				621	26	595
"RI"	2012	"North Providence 2416"	2416	982	940	42	646	612	34	997	957	40	574	537	37	1651	76	1575	1573	77	1496	1	779	749	30	762	718	44	1636	76	1560	55	1243	1197	46				1270	47	1223	17	714	681	33				1555	66	1489
