state	year	county	precinct	cd	g2012_REG_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	ld	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	ld2	g2012_STH_dv2	g2012_STH_rv2	g2012_STH_tv2	ld3	g2012_STH_dv3	g2012_STH_rv3	g2012_STH_tv3	ld4	g2012_STH_dv4	g2012_STH_rv4	g2012_STH_tv4	ld5	g2012_STH_dv5	g2012_STH_rv5	g2012_STH_tv5	ld6	g2012_STH_dv6	g2012_STH_rv6	g2012_STH_tv6	ld7	g2012_STH_dv7	g2012_STH_rv7	g2012_STH_tv7	ld8	g2012_STH_dv8	g2012_STH_rv8	g2012_STH_tv8	ld9	g2012_STH_dv9	g2012_STH_rv9	g2012_STH_tv9	ld10	g2012_STH_dv10	g2012_STH_rv10	g2012_STH_tv10	ld11	g2012_STH_dv11	g2012_STH_rv11	g2012_STH_tv11	ld12	g2012_STH_dv12	g2012_STH_rv12	g2012_STH_tv12	ld13	g2012_STH_dv13	g2012_STH_rv13	g2012_STH_tv13	sd	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv	sd2	g2012_STS_dv2	g2012_STS_rv2	g2012_STS_tv2	sd3	g2012_STS_dv3	g2012_STS_rv3	g2012_STS_tv3	sd4	g2012_STS_dv4	g2012_STS_rv4	g2012_STS_tv4	sd5	g2012_STS_dv5	g2012_STS_rv5	g2012_STS_tv5	sd6	g2012_STS_dv6	g2012_STS_rv6	g2012_STS_tv6	sd7	g2012_STS_dv7	g2012_STS_rv7	g2012_STS_tv7	sd8	g2012_STS_dv8	g2012_STS_rv8	g2012_STS_tv8
"SC"	2012	"Richland"	"Hampton"	2	1858		298	338	6	213		246	345	481	852	75	472	302	775	72	39		40																																													20	412	376	817																												
"SC"	2012	"Richland"	"Harbison #1"	2	2476		537	581					345	759	1121	73	891		897																																																	19	888		898																												
"SC"	2012	"Richland"	"Harbison #2"	2	1301		270	284	6	121		126	258	372	636	73	464		466																																																	19	474		475																												
"SC"	2012	"Richland"	"Hopkins"	6	2840	1076		1106					111	1079	1205	70	1097		1099																																																	21	1089		1094																												
"SC"	2012	"Richland"	"Horrell Hill"	6	2348	811		934					525	668	1210	80	751		759	70	159		162																																													21	885		895																												
"SC"	2012	"Richland"	"Hunting Creek"	6	496	180		217					156	134	294	70	205		206																																																	21	223		225																												
"SC"	2012	"Richland"	"Keels"	6	3500	1066		1106					125	1068	1203	76	1011	116	1127	77	16		16																																													19	1094		1095																												
"SC"	2012	"Richland"	"Keenan"	6	1913	307		317	2		293	313	256	569	834	74	356		359	76	296	17	313																																													21	665		674																												
"SC"	2012	"Richland"	"Kelly Mill"	2	1074		386	401					320	278	606	41	277	298	575																																																	22	445		448																												
"SC"	2012	"Richland"	"Killian"	6	1415	539		588					261	473	747	77	574		575																																																	19	576		577																												
"SC"	2012	"Richland"	"Kingswood"	6	2953	1239		1277					165	1229	1411	73	1251		1254																																																	19	1263		1265																												
"SC"	2012	"Richland"	"Lake Carolina"	2	2514		822	882					677	590	1282	41	432	453	885	79	212		218																																													22	874		895																												
"SC"	2012	"Richland"	"Lincolnshire"	6	2338	1141		1157					14	1167	1185	77	1148		1149																																																	19	1148		1150																												
"SC"	2012	"Richland"	"Longcreek"	2	3537		1319	1375					1143	692	1858	77	1191		1199																																																	22	1272		1283																												
"SC"	2012	"Richland"	"Lykesland"	6	2484	842		929	2		46	49	446	797	1267	80	732		736	70	222		223																																													21	946		948																												
"SC"	2012	"Richland"	"McEntire"	6	917	328		379					215	254	480	80	373		377																																																	21	337		340																												
"SC"	2012	"Richland"	"Meadowfield"	2	1821		662	703					572	341	935	75	407	507	914																																																	20	280	611	910																												
"SC"	2012	"Richland"	"Meadowlake"	6	2433	1087		1100					22	1108	1139	77	1079		1082																																																	19	1090		1091																												
"SC"	2012	"Richland"	"Midway"	6	3102	1064		1131					226	1034	1277	76	1002	212	1215																																																	22	1100		1104																												
"SC"	2012	"Richland"	"Mill Creek"	6	1877	728		788					289	668	968	80	508		510	70	277		277																																													21	782		787																												
"SC"	2012	"Richland"	"Monticello"	6	2418	479		525	2		294	304	478	637	1137	77	444		445	73	346		348																																													19	798		800																												
"SC"	2012	"Richland"	"North Forest Acres"	2	1422		436	467					321	391	733	78	303	156	459	75	124	128	253																																													22	582		584																												
"SC"	2012	"Richland"	"North Springs #1"	2	3356		703	755	6	85		90	457	1066	1546	79	998		1002	77	242		244	76	4	5	9																																									22	1297		1303																												
"SC"	2012	"Richland"	"North Springs #2"	2	2955		821	866					581	774	1373	76	706	561	1269	79	20		20																																													22	1112		1118																												
"SC"	2012	"Richland"	"Oak Point"	2	3090		1057	1108					854	717	1604	71		1093	1120																																																	20	649	864	1553																												
"SC"	2012	"Richland"	"Oakwood"	2	1044		379	406					294	278	583	74	231		233	76	133	76	209	78	3	2	5																																									21	395		400	22	5		5																								
"SC"	2012	"Richland"	"Old Friarsgate"	2	1302		415	434					320	326	660	71		428	434																																																	20	279	338	636																												
"SC"	2012	"Richland"	"Olympia"	6	2466	755		846					288	679	990	72	787		794	70	0		0																																													21	800		810																												
