state	year	county	town	precinct	g2012_ATG_dv	g2012_ATG_rv	g2012_ATG_tv	g2012_AUD_dv	g2012_AUD_rv	g2012_AUD_tv	g2012_GOV_dv	g2012_GOV_rv	g2012_GOV_tv	g2012_LTG_dv	g2012_LTG_rv	g2012_LTG_tv	g2012_SOS_dv	g2012_SOS_tv	g2012_TRE_dv	g2012_TRE_rv	g2012_TRE_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_rv	g2012_USS_iv	g2012_USS_tv
"VT"	2012	"Rutland"	"Clarendon"	"Clarendon (Rutland 2)"	537	591	1196	440	673	1148	494	668	1219	317	846	1196	904	1069	410	767	1203	716	425	1199	648	558	1231	446	716	1214
"VT"	2012	"Chittenden"	"Colchester"	"Colchester (Chittenden 9-1)"	1858	1009	3007	1464	1360	2881	1765	1269	3126	1050	1919	3015	2555	2789	1477	1260	2958	2242	693	3068	2068	1027	3173	771	2248	3117
"VT"	2012	"Chittenden"	"Colchester"	"Colchester (Chittenden 9-2)"	2351	1429	3960	1785	1904	3770	2214	1759	4109	1231	2660	3946	3292	3632	1817	1758	3864	2819	1019	4026	2550	1524	4158	1146	2788	4077
"VT"	2012	"Essex-Caledonia"	"Concord"	"Concord (Essex-Caledonia)"	240	219	491	147	325	499	197	277	502	115	357	490	351	437	176	269	479	291	154	494	275	222	514	159	323	505
"VT"	2012	"Orange"	"Corinth"	"Corinth (Orange 1)"	310	255	628	299	278	599	347	272	651	251	374	638	469	561	326	269	627	430	196	651	408	240	663	188	437	654
"VT"	2012	"Addison"	"Cornwall"	"Cornwall (Addison 2)"	438	206	671	382	245	642	444	240	696	307	360	673	558	605	383	256	667	520	150	686	509	181	702	170	510	694
"VT"	2012	"Orleans"	"Coventry"	"Coventry (Orleans 2)"	257	181	469	172	286	471	237	225	487	149	310	471	360	441	229	208	469	350	105	477	297	183	490	108	360	489
"VT"	2012	"Orleans-Caledonia"	"Craftsbury"	"Craftsbury (Orleans-Caledonia )"	288	173	585	279	279	577	220	278	606	197	372	588	451	517	309	204	567	449	99	595	435	151	627	131	459	611
"VT"	2012	"Bennington-Rutland"	"Danby"	"Danby (Bennington-Rutland )"	277	269	599	267	280	574	312	261	615	221	362	600	439	542	217	362	607	403	172	613	374	236	632	196	388	621
"VT"	2012	"Caledonia-Washington"	"Danville"	"Danville (Caledonia-Washington )"	578	471	1129	478	599	1106	564	570	1168	332	780	1132	912	1035	506	550	1115	755	353	1147	695	475	1187	378	732	1161
"VT"	2012	"Orleans"	"Derby"	"Derby (Orleans 1)"	1085	835	2049	667	1339	2061	936	1095	2109	574	1434	2052	1595	1869	843	1043	2017	1370	607	2076	1234	848	2120	591	1436	2102
"VT"	2012	"Bennington-Rutland"	"Dorset"	"Dorset (Bennington-Rutland )"	601	454	1126	550	486	1078	670	456	1185	492	618	1140	862	1020	560	530	1136	773	341	1173	762	424	1206	386	741	1181
"VT"	2012	"Windham-Bennington"	"Dover"	"Dover (Windham-Bennington)"	341	287	702	292	299	669	410	262	735	325	339	700	488	627	311	315	706	424	243	720	433	299	751	234	444	727
"VT"	2012	"Windham"	"Dummerston"	"Dummerston (Windham 4)"	782	230	1095	677	311	1082	857	245	1164	701	349	1112	822	1033	676	267	1106	922	170	1144	897	234	1167	182	921	1157
