state	year	county	town	precinct	g2012_ATG_dv	g2012_ATG_rv	g2012_ATG_tv	g2012_AUD_dv	g2012_AUD_rv	g2012_AUD_tv	g2012_GOV_dv	g2012_GOV_rv	g2012_GOV_tv	g2012_LTG_dv	g2012_LTG_rv	g2012_LTG_tv	g2012_SOS_dv	g2012_SOS_tv	g2012_TRE_dv	g2012_TRE_rv	g2012_TRE_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_rv	g2012_USS_iv	g2012_USS_tv
"VT"	2012	"Windsor-Orange"	"Thetford"	"Thetford (Windsor-Orange 2)"	936	339	1409	916	393	1342	1130	342	1518	862	516	1413	1125	1277	955	379	1423	1207	239	1487	1196	312	1548	249	1222	1502
"VT"	2012	"Rutland"	"Tinmouth"	"Tinmouth (Rutland 2)"	36	27	69	28	37	66	35	32	70	26	41	70	59	63	25	40	69	42	24	69	41	30	71	21	44	68
"VT"	2012	"Rutland-Bennington"	"Tinmouth"	"Tinmouth (Rutland-Bennington)"	111	84	211	108	84	200	111	87	217	86	122	213	158	186	98	108	214	153	59	218	136	79	221	60	151	221
"VT"	2012	"Orange-Caledonia"	"Topsham"	"Topsham (Orange-Caledonia )"	218	208	480	183	273	471	231	251	507	124	361	494	363	433	201	250	479	299	161	492	288	208	510	165	313	499
"VT"	2012	"Windham"	"Townshend"	"Townshend (Windham 5)"	365	191	606	306	226	588	433	180	645	311	246	603	420	544	305	210	599	418	144	628	449	191	649	151	449	634
"VT"	2012	"Orleans"	"Troy"	"Troy (Orleans 2)"	75	58	145	53	91	148	72	71	150	43	100	146	110	134	63	72	142	106	36	145	86	62	149	37	107	149
"VT"	2012	"Orleans-Lamoille"	"Troy"	"Troy (Orleans-Lamoille)"	268	168	467	178	283	471	241	225	481	151	303	465	362	431	216	215	465	347	107	473	307	174	490	126	346	485
"VT"	2012	"Windsor-Orange"	"Tunbridge"	"Tunbridge (Windsor-Orange 1)"	380	265	729	352	347	716	430	316	769	261	472	745	571	668	383	308	735	535	194	755	500	239	765	183	533	755
"VT"	2012	"Chittenden-3"	"Underhill"	"Underhill (Chittenden-3)"	1098	541	1738	925	716	1667	1103	646	1804	745	978	1741	1448	1583	929	671	1703	1301	432	1785	1226	565	1829	460	1296	1808
"VT"	2012	"Addison"	"Vergennes"	"Vergennes (Addison 3)"	662	352	1076	554	463	1038	661	419	1118	429	635	1082	881	994	531	459	1065	839	208	1097	788	312	1122	232	844	1119
"VT"	2012	"Windham"	"Vernon"	"Vernon (Windham 1)"	429	515	1003	304	539	933	374	596	1056	330	633	1001	658	859	344	557	994	564	404	1018	562	495	1086	428	545	1042
"VT"	2012	"Orange"	"Vershire"	"Vershire (Orange 1)"	172	110	323	176	120	308	210	108	339	147	169	326	228	291	178	114	319	231	82	337	230	103	345	80	242	342
"VT"	2012	"Essex-Caledonia"	"Victory"	"Victory (Essex-Caledonia)"	18	25	48	18	28	50	14	29	50	10	35	50	34	44	21	23	50	28	14	49	30	18	49	16	31	49
"VT"	2012	"Washington"	"Waitsfield"	"Waitsfield (Washington 7)"	656	245	1024	588	363	986	683	332	1088	383	636	1041	843	947	621	335	1024	827	186	1060	824	237	1096	213	843	1086
"VT"	2012	"Caledonia-2"	"Walden"	"Walden (Caledonia-2)"	228	173	465	218	220	458	248	190	479	160	300	474	352	417	245	180	461	323	113	466	303	158	475	125	326	476
"VT"	2012	"Rutland"	"Wallingford"	"Wallingford (Rutland 2)"	562	435	1072	485	516	1041	582	470	1114	370	675	1079	808	967	431	607	1090	738	316	1099	663	426	1127	336	725	1115
"VT"	2012	"Addison"	"Waltham"	"Waltham (Addison 3)"	161	83	257	137	111	252	157	101	266	86	171	262	227	250	136	110	258	196	62	266	179	76	267	67	192	267
"VT"	2012	"Windham-Bennington"	"Wardsboro"	"Wardsboro (Windham-Bennington"	201	117	356	172	142	344	238	109	376	178	155	357	265	327	188	124	355	245	96	368	247	130	388	102	244	373
"VT"	2012	"Washington"	"Warren"	"Warren (Washington 7)"	601	209	939	571	303	889	681	269	992	431	505	954	778	872	586	267	925	767	155	971	774	197	997	170	786	988
"VT"	2012	"Orange"	"Washington"	"Washington (Orange 1)"	236	177	498	195	277	487	262	233	512	107	399	513	372	454	242	228	500	342	134	501	315	195	525	158	327	517
